case_name,RoI,predict values,residuals,legend
office5_660_82_aout,215.1090909090909,212.72594392068973,-2.3831469884011653,Trainingoffice5
office5_660_164_bout,235.13333333333333,230.1810297823443,-4.952303550989029,Trainingoffice5
office5_0_164_aout,193.41818181818184,192.85197799277302,-0.5662038254088202,Trainingoffice5
office5_0_82_aout,178.47272727272727,180.0791077114375,1.6063804387102323,Trainingoffice5
office5_660_164_aout,201.12121212121207,199.77884938828646,-1.3423627329256078,Trainingoffice5
office5_660_246_bout,201.4909090909091,200.0689477381431,-1.4219613527660044,Trainingoffice5
office5_360_246_bout,186.1878787878788,186.47309662488007,0.28521783700128367,Trainingoffice5
office5_960_82_aout,196.42424242424244,196.3840422299167,-0.04020019432573463,Trainingoffice5
office5_360_82_bout,165.6181818181818,168.90190835721856,3.2837265390367634,Trainingoffice5
office5_360_82_aout,181.6848484848485,183.18163390204052,1.4967854171920294,Trainingoffice5
office5_0_0,156.66666666666669,160.5375975741454,3.8709309074787086,Trainingoffice5
office5_960_164_bout,204.72727272727275,203.39773713776066,-1.3295355895120906,Trainingoffice5
office5_0_246_aout,175.6,176.9936195560321,1.3936195560320925,Trainingoffice5
office5_360_164_aout,203.86666666666665,202.88316452623337,-0.9835021404332736,Trainingoffice5
office5_360_0,179.95757575757574,181.6039565983192,1.6463808407434612,Trainingoffice5
office5_0_82_bout,171.4121212121212,173.7523255821563,2.3402043700350816,Trainingoffice5
office5_960_246_aout,216.73939393939395,213.66145103852094,-3.077942900873012,Trainingoffice5
office5_960_164_aout,202.58181818181816,201.28461552800206,-1.2972026538161003,Trainingoffice5
office5_0_164_bout,170.84242424242424,172.6752512445985,1.8328270021742696,Trainingoffice5
office5_0_246_bout,191.8,191.36082608588757,-0.43917391411244466,Trainingoffice5
office5_960_82_bout,209.83636363636364,208.19160558572844,-1.644758050635204,Trainingoffice5
office5_660_0,203.84242424242424,202.74331967657,-1.0991045658542475,Trainingoffice5
office5_360_246_aout,172.53939393939396,174.38095997420479,1.8415660348108247,Trainingoffice5
office5_960_0,180.9636363636364,182.68800165425665,1.7243652906202556,Trainingoffice5
office5_960_246_bout,200.339393939394,199.21851902884444,-1.12087491054956,Trainingoffice5
